PERMNO,date,TICKER,RET
10107,2021-04-30,MSFT,0.069602
10107,2021-05-28,MSFT,-0.007693
10107,2021-06-30,MSFT,0.084989
10107,2021-07-30,MSFT,0.051717
10107,2021-08-31,MSFT,0.061528
10107,2021-09-30,MSFT,-0.066119
10107,2021-10-29,MSFT,0.176291
10107,2021-11-30,MSFT,-0.001236
10107,2021-12-31,MSFT,0.017333
10107,2022-01-31,MSFT,-0.075345
10107,2022-02-28,MSFT,-0.037205
10107,2022-03-31,MSFT,0.031862
10107,2022-04-29,MSFT,-0.099867
10107,2022-05-31,MSFT,-0.018125
10107,2022-06-30,MSFT,-0.055321
10107,2022-07-29,MSFT,0.093097
10107,2022-08-31,MSFT,-0.066432
10107,2022-09-30,MSFT,-0.109267
10107,2022-10-31,MSFT,-0.003306
10107,2022-11-30,MSFT,0.102055
10107,2022-12-30,MSFT,-0.060045
11850,2017-01-31,XOM,-0.070574
11850,2017-02-28,XOM,-0.021695
11850,2017-03-31,XOM,0.008485
11850,2017-04-28,XOM,-0.004390
11850,2017-05-31,XOM,-0.004654
11850,2017-06-30,XOM,0.002857
11850,2017-07-31,XOM,-0.008547
11850,2017-08-31,XOM,-0.036732
11850,2017-09-29,XOM,0.074021
11850,2017-10-31,XOM,0.016711
11850,2017-11-30,XOM,0.008518
11850,2017-12-29,XOM,0.004202
11850,2018-01-31,XOM,0.043759
11850,2018-02-28,XOM,-0.123597
11850,2018-03-29,XOM,-0.014919
11850,2018-04-30,XOM,0.042086
11850,2018-05-31,XOM,0.055434
11850,2018-06-29,XOM,0.018341
11850,2018-07-31,XOM,-0.014747
11850,2018-08-31,XOM,-0.006380
11850,2018-09-28,XOM,0.060496
11850,2018-10-31,XOM,-0.062809
11850,2018-11-30,XOM,0.008032
11850,2018-12-31,XOM,-0.142264
11850,2019-01-31,XOM,0.074644
11850,2019-02-28,XOM,0.089656
11850,2019-03-29,XOM,0.022397
11850,2019-04-30,XOM,-0.006436
11850,2019-05-31,XOM,-0.107623
11850,2019-06-28,XOM,0.082803
11850,2019-07-31,XOM,-0.029623
11850,2019-08-30,XOM,-0.067375
11850,2019-09-30,XOM,0.031104
11850,2019-10-31,XOM,-0.043053
11850,2019-11-29,XOM,0.021163
11850,2019-12-31,XOM,0.024218
11850,2020-01-31,XOM,-0.109774
11850,2020-02-28,XOM,-0.157920
11850,2020-03-31,XOM,-0.261858
11850,2020-04-30,XOM,0.223861
11850,2020-05-29,XOM,-0.002798
11850,2020-06-30,XOM,-0.016494
11850,2020-07-31,XOM,-0.059034
11850,2020-08-31,XOM,-0.030181
11850,2020-09-30,XOM,-0.140461
11850,2020-10-30,XOM,-0.049811
11850,2020-11-30,XOM,0.195586
11850,2020-12-31,XOM,0.081039
11850,2021-01-29,XOM,0.087821
11850,2021-02-26,XOM,0.231936
11850,2021-03-31,XOM,0.026853
11850,2021-04-30,XOM,0.025255
11850,2021-05-28,XOM,0.034941
11850,2021-06-30,XOM,0.080692
11850,2021-07-30,XOM,-0.087349
11850,2021-08-31,XOM,-0.037867
11850,2021-09-30,XOM,0.078870
11850,2021-10-29,XOM,0.096056
11850,2021-11-30,XOM,-0.058167
11850,2021-12-31,XOM,0.022560
11850,2022-01-31,XOM,0.241379
11850,2022-02-28,XOM,0.043970
11850,2022-03-31,XOM,0.053175
11850,2022-04-29,XOM,0.032207
11850,2022-05-31,XOM,0.136422
11850,2022-06-30,XOM,-0.107917
11850,2022-07-29,XOM,0.131831
11850,2022-08-31,XOM,-0.004746
11850,2022-09-30,XOM,-0.086620
11850,2022-10-31,XOM,0.269156
11850,2022-11-30,XOM,0.012995
11850,2022-12-30,XOM,-0.009341
76892,2017-01-31,BOKF,-0.009634
76892,2017-02-28,BOKF,0.008025
76892,2017-03-31,BOKF,-0.050813
